Cue,Target_side,Stimulus,Stimulus_X,Stimulus_Y,Cue_X,Cue_Y,Cue2_X,Cue2_Y,correctAns,feedback,Practise_loop.thisRepN,Practise_loop.thisTrialN,Practise_loop.thisN,Practise_loop.thisIndex,Main_loop.thisRepN,Main_loop.thisTrialN,Main_loop.thisN,Main_loop.thisIndex,response.keys,response.corr,response.rt,response.started,response.stopped,feedback_image.started,feedback_image.stopped,text.started,text.stopped,participant
central,neutral,Stimuli/neutral_left.png,0,-100,0,0,None,None,left,Stimuli/feedback_neutral_left.png,,,,,0,121,121,11,left,1,0.5288228,665.3029518,None,665.8684316,None,None,None,999
central,congruent,Stimuli/congruent_right.png,0,100,0,0,None,None,right,Stimuli/feedback_con_right.png,,,,,0,122,122,20,right,1,0.3897738,669.2016885,None,669.6351018,None,None,None,999
spatial,neutral,Stimuli/neutral_left.png,0,100,0,100,None,None,left,Stimuli/feedback_neutral_left.png,,,,,0,123,123,42,left,1,0.3809134,673.0664988,None,673.5019403,None,None,None,999
double,neutral,Stimuli/neutral_right.png,0,-100,0,-100,0,100,right,Stimuli/feedback_neutral_right.png,,,,,0,124,124,112,right,1,0.4288338,676.6664625,None,677.1352147,None,None,None,999
none,neutral,Stimuli/neutral_left.png,0,-100,None,None,None,None,left,Stimuli/feedback_neutral_left.png,,,,,0,125,125,82,left,1,0.7166535,680.2667481,None,681.0352127,None,None,None,999
double,neutral,Stimuli/neutral_right.png,0,100,0,100,0,-100,right,Stimuli/feedback_neutral_right.png,,,,,0,126,126,109,right,1,0.5060776,684.5096362,None,685.0685556,None,None,None,999
none,incogruent,Stimuli/incogruent_right.png,0,100,None,None,None,None,right,Stimuli/feedback_inc_right.png,,,,,0,127,127,104,right,1,0.6271618,688.2684234,None,688.935121,None,None,None,999
spatial,congruent,Stimuli/congruent_right.png,0,100,0,100,None,None,right,Stimuli/feedback_con_right.png,,,,,0,128,128,54,right,1,0.4604262,692.235234,None,692.7351759,None,None,None,999
spatial,neutral,Stimuli/neutral_left.png,0,100,0,100,None,None,left,Stimuli/feedback_neutral_left.png,,,,,0,129,129,43,left,1,0.3586816,695.8009974,None,696.2017822,None,None,None,999
spatial,congruent,Stimuli/congruent_right.png,0,100,0,100,None,None,right,Stimuli/feedback_con_right.png,,,,,0,130,130,56,right,1,0.4821223,699.7018536,None,700.251848,None,None,None,999
none,congruent,Stimuli/congruent_right.png,0,-100,None,None,None,None,right,Stimuli/feedback_con_right.png,,,,,0,131,131,94,right,1,0.8029718,703.4045047,None,704.2713293,None,None,None,999
central,incogruent,Stimuli/incogruent_left.png,0,100,0,0,None,None,left,Stimuli/feedback_inc_left.png,,,,,0,132,132,24,left,1,0.6188791,707.8043589,None,708.4707941,None,None,None,999
none,incogruent,Stimuli/incogruent_right.png,0,-100,None,None,None,None,right,Stimuli/feedback_inc_right.png,,,,,0,133,133,105,right,1,1.1230773,711.8047202,None,712.9712145,None,None,None,999
none,incogruent,Stimuli/incogruent_left.png,0,100,None,None,None,None,left,Stimuli/feedback_inc_left.png,,,,,0,134,134,98,left,1,0.6505967,716.0526825,None,716.7375295,None,None,None,999
double,incogruent,Stimuli/incogruent_left.png,0,100,0,100,0,-100,left,Stimuli/feedback_inc_left.png,,,,,0,135,135,134,left,1,0.6176891,720.2379368,None,720.9042826,None,None,None,999
double,incogruent,Stimuli/incogruent_right.png,0,100,0,100,0,-100,right,Stimuli/feedback_inc_right.png,,,,,0,136,136,139,right,1,0.3735688,724.3376622,None,724.7710597,None,None,None,999
none,neutral,Stimuli/neutral_left.png,0,100,None,None,None,None,left,Stimuli/feedback_neutral_left.png,,,,,0,137,137,80,left,1,0.5632948,728.2042172,None,728.803916,None,None,None,999
none,incogruent,Stimuli/incogruent_left.png,0,-100,None,None,None,None,left,Stimuli/feedback_inc_left.png,,,,,0,138,138,101,left,1,0.8220214,732.3375674,None,733.2185813,None,None,None,999
central,incogruent,Stimuli/incogruent_left.png,0,100,0,0,None,None,left,Stimuli/feedback_inc_left.png,,,,,0,139,139,26,right,0,0.4764722,736.3796419,None,736.9084771,None,None,None,999
double,neutral,Stimuli/neutral_right.png,0,-100,0,-100,0,100,right,Stimuli/feedback_neutral_right.png,,,,,0,140,140,113,right,1,0.4056426,740.2419566,None,740.7088024,None,None,None,999
spatial,neutral,Stimuli/neutral_right.png,0,-100,0,-100,None,None,right,Stimuli/feedback_neutral_right.png,,,,,0,141,141,40,right,1,0.3652603,744.0418856,None,744.4415189,None,None,None,999
central,congruent,Stimuli/congruent_left.png,0,100,0,0,None,None,left,Stimuli/feedback_con_left.png,,,,,0,142,142,14,left,1,0.5593287,747.6080515,None,748.2186193,None,None,None,999
none,neutral,Stimuli/neutral_right.png,0,-100,None,None,None,None,right,Stimuli/feedback_neutral_right.png,,,,,0,143,143,77,right,1,0.7682668,751.575161,None,752.4084876,None,None,None,999
