Cue,Target_side,Stimulus,Stimulus_X,Stimulus_Y,Cue_X,Cue_Y,Cue2_X,Cue2_Y,correctAns,feedback,Practise_loop.thisRepN,Practise_loop.thisTrialN,Practise_loop.thisN,Practise_loop.thisIndex,Main_loop.thisRepN,Main_loop.thisTrialN,Main_loop.thisN,Main_loop.thisIndex,response.keys,response.corr,response.rt,response.started,response.stopped,feedback_image.started,feedback_image.stopped,text.started,text.stopped,participant,date,expName,psychopyVersion,frameRate,
central,incogruent,Stimuli/incogruent_right.png,0,100,0.0,0.0,None,None,right,Stimuli/feedback_inc_right.png,,,,,0,21,21,30,right,1,0.49666920001618564,214.939228800009,None,215.45589230000041,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,neutral,Stimuli/neutral_left.png,0,100,0.0,100.0,None,None,left,Stimuli/feedback_neutral_left.png,,,,,0,22,22,43,left,1,0.6763264000182971,218.6559377000085,None,219.3559764000238,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,congruent,Stimuli/congruent_left.png,0,100,None,None,None,None,left,Stimuli/feedback_con_left.png,,,,,0,23,23,85,left,1,0.5010350000229664,222.4392810999998,None,222.97262770001544,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,congruent,Stimuli/congruent_left.png,0,-100,None,None,None,None,left,Stimuli/feedback_con_left.png,,,,,0,24,24,88,left,1,0.4555500000133179,226.1726256000111,None,226.65594450000208,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
double,incogruent,Stimuli/incogruent_left.png,0,100,0.0,100.0,0.0,-100.0,left,Stimuli/feedback_inc_left.png,,,,,0,25,25,132,left,1,0.48267400002805516,229.9060014000279,None,230.40598859998863,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
double,neutral,Stimuli/neutral_left.png,0,-100,0.0,-100.0,0.0,100.0,left,Stimuli/feedback_neutral_left.png,,,,,0,26,26,119,left,1,0.4741550000035204,233.52274510002462,None,234.02269140002318,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,neutral,Stimuli/neutral_right.png,0,100,0.0,100.0,None,None,right,Stimuli/feedback_neutral_right.png,,,,,0,27,27,37,right,1,0.4568515000282787,237.13933099998394,None,237.6227060999954,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,congruent,Stimuli/congruent_right.png,0,-100,0.0,-100.0,None,None,right,Stimuli/feedback_con_right.png,,,,,0,28,28,58,right,1,0.39339089998975396,240.72271850000834,None,241.13938860001508,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,congruent,Stimuli/congruent_right.png,0,-100,0.0,-100.0,None,None,right,Stimuli/feedback_con_right.png,,,,,0,29,29,59,right,1,0.6541283999686129,244.40608990000328,None,245.08943250001175,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,congruent,Stimuli/congruent_left.png,0,-100,None,None,None,None,left,Stimuli/feedback_con_left.png,,,,,0,30,30,87,left,1,0.4316489999764599,248.37275340000633,None,248.82276429998456,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
double,incogruent,Stimuli/incogruent_right.png,0,100,0.0,100.0,0.0,-100.0,right,Stimuli/feedback_inc_right.png,,,,,0,31,31,139,right,1,0.4278774000122212,251.85612599999877,None,252.30610260000685,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
central,congruent,Stimuli/congruent_left.png,0,-100,0.0,0.0,None,None,left,Stimuli/feedback_con_left.png,,,,,0,32,32,17,left,1,0.4177449999842793,255.7061547000194,None,256.13948519999394,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
central,neutral,Stimuli/neutral_right.png,0,100,0.0,0.0,None,None,right,Stimuli/feedback_neutral_right.png,,,,,0,33,33,2,right,1,0.3848761999979615,259.33951219997834,None,259.7561602999922,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,congruent,Stimuli/congruent_right.png,0,-100,None,None,None,None,right,Stimuli/feedback_con_right.png,,,,,0,34,34,95,right,1,0.4029507999657653,262.88952399999835,None,263.3228749000118,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,congruent,Stimuli/congruent_left.png,0,100,None,None,None,None,left,Stimuli/feedback_con_left.png,,,,,0,35,35,86,left,1,0.4106488000252284,266.4895551999798,None,266.9228783000144,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
double,congruent,Stimuli/congruent_left.png,0,100,0.0,100.0,0.0,-100.0,left,Stimuli/feedback_con_left.png,,,,,0,36,36,121,left,1,0.5179974000202492,270.2062082000193,None,270.7562531000003,None,272.75620030000573,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
,,,,,,,,,,,,,,,,,,,right,1,0.4520050000282936,278.27292969997507,None,,,,,,,,,,
